run,steps,log_ok,log_bytes,diff_ok,diff_bytes,prov_ok,prov_bytes
clean/000_4hop1__151650_5274_458768_33637,32,ok,15272,ok,20332,ok,19755
clean/001_4hop1__39871_314549_131976_56103,20,ok,9612,ok,13184,ok,12267
clean/002_3hop1__136016_87694_124169,20,ok,9129,ok,12064,ok,11929
clean/003_3hop1__857241_503371_21711,38,ok,16167,ok,19341,ok,20126
clean/004_4hop2__71753_158985_70784_61381,38,ok,20452,ok,27268,ok,25283
clean/005_4hop1__9002_698949_157828_239539,38,ok,18186,ok,24266,ok,22778
clean/006_4hop1__31050_725495_49925_267352,38,ok,17817,ok,22062,ok,22236
clean/007_3hop2__222979_840908_40768,38,ok,19605,ok,26087,ok,24773
clean/008_4hop1__88342_49853_128008_80286,38,ok,20302,ok,25788,ok,24661
clean/009_3hop2__89048_860687_66294,38,ok,21503,ok,25762,ok,25758
clean/010_3hop1__715607_792411_51423,38,ok,15499,ok,20762,ok,20148
clean/011_4hop2__161602_474028_88460_21034,20,ok,8946,ok,11612,ok,11639
clean/012_3hop1__446612_160545_62931,38,ok,17164,ok,21883,ok,21531
clean/013_3hop2__127483_125104_10557,20,ok,8880,ok,11519,ok,11543
clean/014_3hop1__454441_55349_651302,20,ok,9057,ok,12170,ok,11742
clean/015_3hop1__280834_547811_80702,38,ok,16322,ok,20187,ok,20304
clean/016_3hop1__836699_15840_36014,14,ok,6594,ok,9035,ok,8626
clean/017_4hop3__238811_88460_30152_20999,38,ok,18775,ok,23790,ok,23049
clean/018_3hop1__465684_160545_62931,38,ok,18068,ok,21189,ok,21906
clean/019_3hop2__304722_330033_63959,38,ok,15076,ok,20224,ok,19083
clean/020_3hop1__302383_503371_21711,38,ok,20261,ok,26525,ok,25029
clean/021_3hop1__19768_19788_10117,14,ok,6112,ok,8044,ok,8180
clean/022_3hop2__38242_92991_76291,38,ok,12647,ok,16252,ok,16213
clean/023_4hop1__846600_153080_33897_81096,38,ok,18419,ok,24007,ok,23299
clean/024_4hop3__678814_466199_695123_72134,38,ok,16555,ok,20478,ok,21102
clean/025_3hop1__305282_282081_73772,38,ok,58424,ok,62813,ok,62702
clean/026_3hop2__855821_467331_162182,20,ok,9738,ok,12790,ok,12589
clean/027_4hop1__56226_32392_823060_610794,38,ok,19480,ok,24149,ok,23758
